20	152
0	1	85
0	2	98
0	3	33
0	4	23
0	5	25
0	8	63
0	9	76
0	10	84
0	11	2
0	12	89
0	13	41
0	14	96
0	16	74
0	17	14
0	18	65
0	19	24
1	2	69
1	4	84
1	5	24
1	6	81
1	7	60
1	8	7
1	9	23
1	10	44
1	11	37
1	13	93
1	14	63
1	17	2
1	19	18
2	3	99
2	4	24
2	5	28
2	6	89
2	9	97
2	10	46
2	11	84
2	12	81
2	14	36
2	15	8
2	16	47
2	17	35
3	4	94
3	6	21
3	8	95
3	9	84
3	12	84
3	13	65
3	14	5
3	15	27
3	17	14
3	18	57
4	5	46
4	6	3
4	7	52
4	8	2
4	9	57
4	10	35
4	11	48
4	12	19
4	13	60
4	15	81
4	16	56
4	17	1
4	18	71
4	19	42
5	6	75
5	7	56
5	8	38
5	9	32
5	10	68
5	11	42
5	12	27
5	13	49
5	14	81
5	17	98
5	18	46
5	19	29
6	8	12
6	10	5
6	11	87
6	12	66
6	14	22
6	17	66
6	19	79
7	8	36
7	9	17
7	10	57
7	11	30
7	13	76
7	14	94
7	15	73
7	16	33
7	17	41
7	18	61
7	19	42
8	9	80
8	10	15
8	11	67
8	12	34
8	13	85
8	14	9
8	15	54
8	16	99
8	18	47
8	19	91
9	10	26
9	11	11
9	12	95
9	13	56
9	14	49
9	15	21
9	16	62
9	17	96
9	18	50
9	19	39
10	11	42
10	13	53
10	14	28
10	15	84
10	16	49
10	17	38
10	19	25
11	13	13
11	14	33
11	16	82
11	17	25
11	18	94
11	19	51
12	13	9
12	14	85
12	15	29
12	16	95
12	18	48
12	19	28
13	15	44
13	16	60
13	17	83
13	19	74
14	15	22
14	16	34
14	17	83
14	18	57
14	19	38
15	16	10
15	17	34
15	18	86
15	19	52
16	17	79
16	18	69
16	19	18
17	19	10
18	19	88
