50	980
0	1	67
0	2	34
0	3	88
0	4	97
0	5	18
0	6	54
0	8	27
0	9	74
0	10	21
0	11	21
0	12	20
0	13	47
0	14	69
0	15	58
0	16	48
0	17	0
0	18	62
0	19	75
0	21	18
0	23	58
0	26	59
0	30	83
0	31	56
0	32	68
0	33	63
0	34	46
0	35	68
0	36	35
0	37	32
0	38	22
0	39	89
0	40	83
0	41	49
0	42	44
0	43	90
0	44	5
0	46	14
0	47	73
0	48	70
0	49	51
1	4	50
1	5	90
1	6	99
1	7	52
1	8	43
1	9	35
1	10	55
1	11	50
1	12	79
1	13	46
1	14	55
1	15	92
1	17	74
1	18	33
1	19	48
1	20	50
1	21	52
1	22	63
1	23	94
1	25	30
1	26	89
1	27	88
1	31	24
1	32	67
1	33	0
1	35	10
1	36	47
1	37	93
1	38	91
1	39	55
1	42	69
1	43	31
1	44	6
1	45	12
1	47	92
1	49	29
2	4	9
2	5	36
2	6	62
2	8	41
2	11	15
2	12	13
2	13	35
2	14	53
2	15	18
2	16	8
2	17	60
2	18	99
2	19	42
2	21	85
2	22	99
2	23	57
2	24	34
2	25	59
2	26	18
2	27	27
2	29	98
2	30	34
2	31	30
2	32	79
2	33	83
2	34	87
2	35	27
2	37	86
2	38	91
2	39	61
2	40	80
2	42	84
2	43	15
2	44	25
2	47	48
2	49	36
3	5	90
3	6	99
3	7	47
3	8	22
3	10	68
3	11	47
3	12	43
3	13	4
3	14	86
3	15	19
3	16	69
3	17	75
3	18	62
3	19	17
3	21	47
3	22	68
3	23	47
3	24	60
3	25	60
3	26	34
3	27	90
3	29	40
3	30	18
3	31	56
3	33	46
3	34	98
3	35	90
3	38	65
3	40	96
3	41	87
3	42	29
3	43	93
3	44	73
3	45	87
3	46	76
3	47	20
3	49	5
4	5	73
4	6	10
4	7	66
4	8	84
4	11	62
4	12	30
4	14	2
4	15	33
4	16	65
4	17	68
4	18	24
4	19	90
4	20	58
4	21	78
4	22	13
4	23	56
4	24	66
4	25	87
4	26	5
4	27	30
4	28	59
4	29	46
4	30	100
4	32	95
4	33	44
4	35	55
4	36	69
4	37	7
4	39	63
4	42	33
4	43	64
4	44	5
4	46	28
4	49	83
5	7	12
5	8	11
5	9	57
5	11	88
5	12	97
5	13	98
5	14	70
5	16	72
5	17	96
5	18	3
5	20	100
5	21	10
5	22	72
5	23	19
5	24	26
5	25	10
5	26	55
5	27	99
5	30	95
5	31	74
5	32	19
5	33	85
5	35	7
5	36	7
5	37	12
5	38	84
5	39	63
5	40	9
5	42	48
5	43	14
5	44	16
5	45	63
5	46	96
5	47	64
5	48	62
5	49	32
6	7	27
6	8	81
6	9	72
6	10	92
6	13	79
6	14	17
6	16	6
6	17	84
6	18	47
6	19	82
6	20	19
6	21	45
6	22	69
6	23	46
6	24	53
6	25	16
6	27	49
6	28	43
6	29	68
6	30	31
6	31	32
6	32	22
6	33	3
6	34	80
6	35	98
6	36	15
6	37	79
6	38	88
6	39	41
6	40	40
6	41	93
6	42	80
6	43	48
6	44	58
6	45	94
6	46	67
6	47	87
6	48	100
7	8	12
7	10	20
7	11	89
7	12	49
7	13	74
7	14	85
7	15	46
7	16	89
7	17	22
7	18	98
7	19	6
7	20	11
7	23	12
7	24	90
7	25	3
7	27	67
7	28	33
7	29	13
7	30	61
7	31	37
7	32	54
7	33	42
7	35	28
7	36	90
7	38	3
7	40	57
7	41	39
7	42	31
7	43	22
7	44	14
7	45	57
7	46	39
7	48	38
8	10	1
8	11	25
8	12	55
8	13	29
8	15	90
8	16	59
8	17	91
