20	152
0	1	16
0	2	5
0	3	47
0	4	65
0	5	97
0	6	48
0	7	94
0	9	35
0	10	77
0	11	27
0	13	70
0	15	84
0	16	59
0	17	51
0	19	83
1	2	23
1	3	10
1	4	42
1	5	18
1	6	27
1	7	97
1	8	73
1	9	2
1	10	23
1	12	72
1	14	21
1	15	74
1	16	2
1	17	90
1	19	91
2	3	69
2	5	30
2	6	48
2	7	34
2	8	83
2	9	27
2	10	2
2	11	92
2	12	40
2	14	26
2	15	39
2	17	3
2	18	60
2	19	17
3	4	81
3	5	86
3	6	62
3	7	38
3	8	93
3	9	1
3	10	11
3	11	91
3	12	53
3	13	9
3	14	99
3	15	88
3	17	59
3	18	86
3	19	34
4	5	10
4	7	59
4	8	61
4	9	35
4	10	3
4	11	43
4	16	45
4	17	53
4	18	83
5	7	26
5	8	15
5	9	90
5	10	36
5	12	18
5	13	17
5	15	19
5	16	39
5	17	21
5	18	11
5	19	85
6	8	97
6	9	3
6	10	9
6	11	50
6	12	14
6	13	24
6	14	94
6	15	54
6	16	99
6	17	86
6	19	95
7	9	31
7	10	31
7	11	27
7	12	63
7	13	93
7	14	69
7	15	81
7	16	49
7	17	94
7	18	56
7	19	10
8	9	38
8	10	97
8	11	43
8	12	34
8	13	66
8	14	16
8	15	96
8	16	49
8	17	17
8	18	52
8	19	96
9	10	62
9	12	36
9	13	80
9	14	96
9	15	23
9	16	44
10	11	19
10	13	26
10	14	68
10	15	83
10	16	57
10	17	14
10	18	33
10	19	8
11	12	16
11	13	77
11	14	46
11	15	88
11	16	52
11	17	6
11	18	59
12	13	0
12	14	73
12	15	90
12	16	47
12	17	100
12	18	63
12	19	60
13	15	95
13	16	52
13	17	44
13	18	98
14	16	93
14	17	30
15	17	99
15	18	82
16	17	34
16	18	83
16	19	53
18	19	52
