20	95
0	2	41
0	4	12
0	5	62
0	7	24
0	10	13
0	13	52
0	14	4
0	15	73
0	16	71
1	3	86
1	4	48
1	5	71
1	6	58
1	7	80
1	8	86
1	9	88
1	10	49
1	11	14
1	13	52
1	14	27
1	15	70
1	16	99
1	18	16
2	3	96
2	5	30
2	6	80
2	7	78
2	9	79
2	10	22
2	11	79
2	12	22
2	15	72
2	17	10
3	5	20
3	6	21
3	8	63
3	12	32
3	13	82
3	14	10
3	15	9
3	16	73
3	17	39
4	5	51
4	13	77
4	14	45
4	15	26
4	19	95
5	7	8
5	10	12
5	11	44
5	12	2
5	13	56
5	16	24
5	17	26
5	19	40
6	9	68
6	10	4
6	11	23
6	19	93
7	8	87
7	9	56
7	17	40
7	18	50
7	19	78
8	10	15
8	11	11
8	14	76
8	15	57
8	18	65
8	19	4
9	10	62
9	12	13
9	13	38
9	14	89
9	16	89
9	19	53
10	13	10
10	14	0
11	12	23
11	19	30
12	14	49
12	16	35
12	17	40
13	15	94
13	19	94
14	16	40
14	18	34
15	16	51
15	17	76
15	19	64
16	17	30
16	18	22
16	19	88
17	19	99
18	19	12
