20	152
0	2	19
0	3	4
0	4	17
0	5	87
0	6	72
0	7	5
0	11	59
0	12	6
0	13	99
0	14	68
0	15	20
0	16	22
0	17	70
0	18	89
0	19	90
1	2	67
1	5	27
1	7	48
1	8	75
1	9	83
1	10	6
1	11	30
1	12	16
1	13	96
1	14	96
1	15	38
1	16	82
1	17	15
1	18	45
2	3	16
2	4	53
2	5	31
2	6	6
2	7	31
2	8	34
2	9	16
2	10	66
2	11	56
2	12	80
2	13	20
2	14	80
2	15	3
2	16	23
2	17	39
2	18	90
2	19	42
3	4	8
3	5	7
3	7	22
3	8	89
3	9	52
3	10	16
3	11	21
3	13	3
3	14	17
3	15	41
3	16	35
3	17	43
3	18	68
3	19	6
4	6	52
4	7	4
4	10	95
4	14	64
4	15	99
4	16	93
4	17	41
4	18	18
5	6	97
5	7	41
5	9	25
5	10	82
5	11	44
5	12	6
5	13	30
5	15	71
5	16	94
5	17	73
5	18	24
6	7	62
6	9	86
6	10	21
6	11	89
6	12	16
6	13	91
6	14	89
6	15	87
6	16	61
6	17	56
6	18	36
6	19	14
7	8	82
7	9	53
7	10	11
7	12	88
7	14	1
7	15	23
7	16	72
7	17	36
7	19	61
8	10	27
8	11	45
8	14	14
8	15	92
8	16	90
8	17	14
8	18	21
8	19	79
9	10	74
9	11	67
9	13	76
9	14	12
9	15	10
9	19	79
10	11	8
10	12	34
10	13	30
10	14	19
10	15	22
10	16	62
10	17	0
10	18	32
10	19	19
11	12	77
11	13	14
11	15	45
11	16	96
11	17	72
11	18	23
11	19	28
12	13	99
12	14	39
12	15	27
12	16	21
12	18	40
12	19	100
13	14	28
13	15	50
13	17	54
13	18	78
13	19	16
14	15	6
14	19	84
15	16	88
15	17	75
15	18	23
15	19	37
16	18	92
16	19	76
17	18	86
17	19	31
18	19	30
