20	95
0	1	72
0	2	27
0	6	94
0	7	45
0	10	99
0	11	56
0	12	34
0	14	24
0	15	33
0	16	17
0	18	66
0	19	54
1	2	50
1	6	81
1	7	77
1	8	91
1	9	10
1	10	90
1	12	38
1	13	94
1	18	23
2	4	100
2	5	69
2	8	68
2	10	34
2	11	20
2	13	60
2	16	24
2	17	25
2	19	62
3	4	43
3	8	95
3	11	13
3	12	32
3	14	99
3	16	64
3	19	26
4	5	0
4	7	61
4	8	10
4	9	77
4	14	79
4	17	52
4	19	98
5	7	29
5	11	37
5	13	38
5	18	25
6	7	90
6	8	76
6	10	13
6	12	67
6	13	95
6	14	4
6	17	71
6	18	7
7	10	68
7	11	10
7	12	18
7	14	37
7	15	99
7	16	56
7	17	88
7	18	80
8	11	44
8	13	93
8	15	96
8	16	59
8	17	44
8	18	53
9	12	58
9	13	6
9	16	22
10	11	55
10	14	91
10	16	30
10	18	39
11	12	82
11	13	25
11	14	28
11	15	3
11	18	74
12	13	52
12	15	48
12	16	63
12	18	28
13	14	18
13	15	54
13	17	83
13	18	72
15	16	13
15	17	37
15	19	52
16	17	23
18	19	41
