15	84
0	2	76
0	3	89
0	4	28
0	5	7
0	6	39
0	8	41
0	9	20
0	10	92
0	11	29
0	13	15
0	14	10
1	2	47
1	3	32
1	5	65
1	7	9
1	8	31
1	9	4
1	10	73
1	12	15
1	14	59
2	3	75
2	4	15
2	5	25
2	6	43
2	7	38
2	8	34
2	9	31
2	10	37
2	11	78
2	12	70
2	13	52
2	14	87
3	4	57
3	8	45
3	9	69
3	10	23
3	11	77
3	12	87
3	13	80
3	14	6
4	7	46
4	8	57
4	9	41
4	11	64
4	12	70
4	13	79
4	14	11
5	6	11
5	7	22
5	9	33
5	10	84
5	11	58
5	12	49
5	13	60
5	14	2
6	8	40
6	9	97
6	11	62
6	12	6
6	13	62
7	9	14
7	10	77
7	11	0
7	12	94
7	13	29
7	14	63
8	9	59
8	10	91
8	11	59
8	12	93
8	13	29
9	10	84
9	11	38
9	12	49
9	13	25
9	14	34
10	11	62
10	12	95
10	13	60
11	12	42
11	14	16
12	13	78
12	14	95
13	14	91
