20	95
0	1	67
0	6	54
0	7	51
0	10	21
0	11	21
0	12	20
0	14	69
1	2	81
1	7	24
1	8	59
1	9	63
1	12	83
1	17	68
1	18	35
1	19	32
2	3	22
2	5	83
2	6	49
2	7	44
2	9	5
2	11	14
2	12	73
2	14	51
2	18	90
2	19	99
3	10	46
3	11	55
3	12	92
3	13	87
3	14	74
3	15	33
3	17	50
3	19	63
4	6	74
4	7	30
4	15	0
4	18	47
4	19	93
5	6	91
5	7	55
5	9	23
5	13	12
5	17	29
5	19	9
6	7	36
6	8	62
6	9	56
6	11	86
6	15	35
6	16	53
6	19	60
7	9	42
7	10	18
7	11	85
7	12	99
7	13	57
7	14	34
7	15	59
7	16	18
7	17	27
8	11	79
8	13	87
8	14	27
8	17	91
8	18	61
9	11	84
9	12	15
9	13	25
9	15	55
9	16	48
9	17	33
10	11	90
10	14	22
10	17	47
10	18	43
10	19	4
11	13	19
11	14	69
11	16	62
11	17	17
11	19	47
12	13	68
12	15	60
12	16	60
12	17	34
13	14	40
13	17	43
14	18	65
14	19	95
15	16	96
15	17	87
15	18	29
15	19	93
16	17	73
17	19	85
