20	152
0	1	10
0	2	12
0	4	2
0	5	99
0	6	9
0	7	99
0	8	5
0	9	45
0	10	28
0	11	48
0	14	84
0	15	44
0	16	33
0	17	23
0	18	63
0	19	90
1	2	49
1	3	15
1	5	48
1	6	85
1	7	93
1	8	15
1	9	76
1	10	90
1	11	59
1	12	75
1	13	87
1	15	1
1	16	4
1	17	22
1	19	21
2	3	28
2	4	20
2	5	3
2	6	67
2	8	53
2	9	90
2	10	49
2	11	8
2	12	45
2	13	24
2	15	89
2	16	59
2	18	4
2	19	57
3	4	81
3	5	56
3	6	2
3	7	57
3	8	32
3	11	65
3	12	71
3	14	62
3	15	64
3	17	60
3	18	83
3	19	82
4	6	26
4	8	33
4	9	17
4	10	40
4	11	99
4	12	6
4	13	86
4	14	22
4	15	40
4	17	74
4	19	11
5	6	10
5	9	18
5	10	6
5	11	78
5	12	59
5	13	47
5	14	82
5	15	54
5	16	65
5	17	68
5	19	73
6	7	2
6	8	100
6	9	71
6	10	61
6	11	29
6	12	20
6	14	27
6	15	25
6	16	37
6	17	72
6	18	58
6	19	73
7	9	26
7	10	97
7	11	13
7	12	28
7	13	70
7	14	77
7	15	95
7	17	25
7	18	61
8	9	69
8	10	1
8	12	97
8	13	20
8	14	98
8	15	43
8	16	15
8	17	44
8	18	42
8	19	8
9	11	62
9	12	18
9	13	50
9	15	34
9	16	12
9	17	1
9	18	42
9	19	26
10	11	10
10	12	62
10	14	17
10	15	81
10	16	50
10	17	87
10	18	25
10	19	41
11	12	21
11	13	48
11	15	25
11	17	88
11	18	58
12	13	7
12	15	46
12	18	16
12	19	65
13	14	65
13	16	6
13	17	48
13	18	39
13	19	95
14	15	6
14	16	82
14	17	5
14	19	94
15	17	34
15	18	61
15	19	79
16	17	39
16	18	78
16	19	93
17	19	61
18	19	63
