20	152
0	1	67
0	2	34
0	3	88
0	4	97
0	6	54
0	7	51
0	8	27
0	10	21
0	11	21
0	12	20
0	13	47
0	14	69
0	15	58
0	16	48
0	17	0
0	18	62
0	19	75
1	2	81
1	4	69
1	5	58
1	6	10
1	7	24
1	8	59
1	9	63
1	10	25
1	12	83
1	13	56
1	14	68
1	15	63
1	16	46
1	18	35
1	19	32
2	3	22
2	4	89
2	5	83
2	6	49
2	8	90
2	9	5
2	10	56
2	11	14
2	12	73
2	13	70
2	17	50
2	19	99
3	5	43
3	6	35
3	7	55
3	8	50
3	11	55
3	12	92
3	13	87
3	14	74
3	15	33
3	17	50
3	19	63
4	5	94
4	6	74
4	7	30
4	8	89
4	9	88
4	10	17
4	11	49
4	14	67
4	15	0
4	16	17
5	6	91
5	7	55
5	8	81
5	9	23
5	10	69
5	11	31
5	13	12
5	14	2
5	15	92
5	16	90
6	7	36
6	8	62
6	9	56
6	12	82
6	13	15
6	14	13
6	15	35
6	16	53
6	17	18
6	18	8
6	19	60
7	8	99
7	9	42
7	10	18
7	11	85
7	13	57
7	16	18
7	17	27
7	18	51
7	19	98
8	9	34
8	10	30
8	11	79
8	14	27
8	15	37
8	16	86
8	17	91
8	18	61
9	10	56
9	11	84
9	12	15
9	13	25
9	14	3
9	15	55
9	16	48
9	17	33
9	18	36
9	19	37
10	11	90
10	12	99
10	14	22
10	15	39
10	16	68
10	17	47
10	18	43
11	12	86
11	13	19
11	14	69
11	15	75
11	16	62
11	17	17
11	18	2
11	19	47
12	13	68
12	14	47
12	15	60
12	16	60
12	17	34
12	18	90
12	19	92
13	15	18
13	16	56
13	17	43
13	18	46
13	19	98
14	15	90
14	16	11
15	16	96
15	17	87
15	18	29
15	19	93
16	17	73
16	18	87
16	19	76
17	18	20
17	19	85
18	19	5
