20	152
0	1	59
0	2	83
0	3	76
0	4	71
0	5	78
0	6	31
0	7	42
0	9	77
0	10	74
0	11	35
0	12	63
0	13	32
0	14	45
0	15	59
0	16	10
0	17	76
0	18	52
0	19	92
1	2	37
1	3	21
1	4	99
1	6	30
1	7	23
1	9	85
1	10	85
1	11	93
1	14	96
1	16	34
1	17	41
1	18	99
1	19	77
2	3	11
2	4	3
2	6	99
2	7	84
2	9	41
2	10	98
2	11	89
2	13	40
2	14	49
2	15	95
2	16	10
2	17	96
2	18	75
2	19	14
3	4	68
3	6	83
3	8	79
3	9	52
3	10	90
3	11	58
3	13	27
3	14	44
3	16	73
3	18	53
4	5	91
4	6	7
4	7	3
4	8	28
4	9	85
4	10	55
4	12	15
4	13	3
4	14	76
4	15	41
4	16	80
4	17	41
4	19	59
5	6	38
5	7	32
5	8	91
5	9	21
5	10	93
5	11	23
5	12	65
5	13	42
5	14	67
5	15	64
5	16	60
5	17	80
5	18	66
5	19	42
6	9	93
6	10	5
6	12	42
6	13	71
6	14	80
6	15	96
6	16	5
6	17	40
6	18	11
7	8	29
7	9	44
7	10	46
7	11	58
7	12	63
7	13	86
7	14	7
7	16	54
7	17	74
7	18	65
7	19	3
8	9	3
8	10	13
8	13	11
8	15	99
8	16	11
8	17	21
8	18	99
8	19	71
9	10	87
9	11	23
9	12	2
9	13	100
9	14	76
9	15	25
9	16	80
9	17	11
9	18	44
9	19	69
10	11	70
10	12	16
10	13	75
10	14	74
10	15	21
10	16	52
10	18	86
10	19	45
11	12	24
11	13	82
11	14	69
11	15	68
11	17	64
11	19	37
12	13	42
12	15	22
12	17	31
12	18	95
13	14	37
13	15	56
13	16	4
13	17	91
14	15	5
14	19	52
15	16	46
15	18	33
15	19	29
16	17	98
16	19	60
17	18	86
17	19	68
18	19	30
