20	152
0	1	72
0	2	27
0	5	16
0	6	94
0	7	45
0	9	91
0	10	99
0	12	34
0	13	88
0	14	24
0	15	33
0	16	17
0	17	60
0	18	66
0	19	54
1	3	82
1	4	84
1	6	81
1	7	77
1	9	10
1	10	90
1	11	95
1	12	38
1	13	94
1	14	65
1	15	25
1	17	54
1	18	23
2	3	42
2	5	69
2	6	71
2	7	10
2	8	68
2	9	93
2	11	20
2	12	65
2	13	60
2	14	0
2	15	52
2	17	25
2	18	14
3	5	19
3	8	95
3	10	8
3	12	32
3	13	13
3	14	99
3	16	64
3	17	71
3	18	18
3	19	26
4	5	0
4	6	53
4	7	61
4	8	10
4	9	77
4	10	30
4	11	66
4	12	5
4	13	88
4	14	79
4	15	89
4	16	31
4	18	34
4	19	98
5	6	85
5	8	91
5	9	90
5	10	5
5	11	37
5	12	26
5	13	38
5	14	61
5	15	23
5	16	88
5	17	17
5	18	25
5	19	94
6	8	76
6	9	74
6	11	96
6	12	67
6	13	95
6	14	4
6	15	69
6	16	16
6	17	71
6	18	7
6	19	49
7	8	19
7	9	44
7	10	68
7	13	86
7	17	88
7	18	80
7	19	80
8	9	44
8	10	60
8	11	44
8	12	57
8	13	93
8	14	1
8	15	96
8	17	44
8	18	53
8	19	62
9	10	25
9	11	65
9	13	6
9	14	13
9	16	22
9	17	39
9	18	93
9	19	17
10	11	55
10	12	92
10	13	16
10	16	30
10	17	33
10	19	96
11	12	82
11	13	25
11	14	28
11	15	3
11	16	64
11	17	18
11	18	74
11	19	92
12	13	52
12	14	12
12	15	48
12	16	63
12	17	69
12	19	60
13	16	75
13	17	83
13	18	72
13	19	77
14	15	99
14	16	5
14	17	7
14	18	4
14	19	49
15	16	13
15	17	37
15	18	50
15	19	52
16	17	23
16	18	81
16	19	69
17	18	77
17	19	40
