15	84
0	2	90
0	3	46
0	4	7
0	5	81
0	6	64
0	7	48
0	8	56
0	10	35
0	11	92
0	12	63
0	13	27
1	2	15
1	3	26
1	5	64
1	7	60
1	9	61
1	10	93
1	11	71
1	12	92
1	13	70
2	4	14
2	6	55
2	7	72
2	8	72
2	10	72
2	11	31
2	13	95
2	14	18
3	4	11
3	5	24
3	6	88
3	7	39
3	8	40
3	9	65
3	10	34
3	12	73
3	14	55
4	5	67
4	6	45
4	7	47
4	8	83
4	10	48
4	11	81
4	12	23
4	13	15
4	14	33
5	6	11
5	7	18
5	8	30
5	9	31
5	10	72
5	11	9
5	14	87
6	7	89
6	8	8
6	9	36
6	10	23
6	11	73
6	12	68
6	13	15
6	14	30
7	8	34
7	10	50
7	11	14
7	12	36
7	14	31
8	9	41
8	10	31
8	12	7
8	13	39
8	14	26
9	11	7
9	12	81
9	13	68
9	14	94
10	11	90
10	12	21
10	13	39
10	14	14
11	12	93
11	14	36
12	13	87
12	14	88
13	14	32
