20	152
0	1	54
0	2	90
0	3	46
0	7	48
0	8	56
0	9	89
0	10	35
0	11	92
0	12	63
0	13	27
0	14	34
0	15	15
0	16	26
0	18	64
0	19	72
1	2	60
1	4	61
1	5	93
1	6	71
1	7	92
1	8	70
1	9	21
1	10	80
1	11	14
1	12	20
1	13	55
1	14	72
1	15	72
1	16	52
1	17	72
1	18	31
1	19	28
2	3	95
2	4	18
2	6	24
2	7	88
2	8	39
2	9	40
2	10	65
2	12	14
2	13	73
2	14	26
2	15	55
2	17	45
2	19	83
3	4	95
3	5	48
3	7	23
3	8	15
3	9	33
3	10	11
3	11	18
3	13	31
3	14	72
3	16	5
3	17	49
3	18	87
3	19	89
4	6	36
4	7	23
4	8	73
4	9	68
4	10	15
4	11	30
4	12	34
4	13	22
4	14	50
4	16	36
4	17	16
4	18	31
4	19	41
5	6	31
5	7	77
5	9	39
5	10	26
5	12	7
5	13	81
5	14	68
5	15	94
5	16	90
5	17	21
5	18	39
5	19	14
6	7	93
6	9	36
6	10	87
6	11	88
6	12	32
6	13	16
6	14	37
6	15	25
6	16	21
6	17	14
7	9	2
7	10	43
7	11	53
7	12	31
7	13	5
7	15	31
7	16	84
7	17	48
7	19	33
8	10	99
8	11	59
8	12	78
8	13	29
8	14	63
8	15	46
8	16	95
8	19	66
9	11	59
9	12	39
9	13	21
9	14	87
9	15	86
9	16	79
9	19	60
10	11	48
10	12	89
10	15	86
10	16	74
10	17	32
10	18	26
10	19	40
11	12	86
11	14	85
11	15	27
11	16	80
11	17	61
11	18	51
12	13	31
12	14	34
12	15	41
12	17	13
12	18	78
12	19	76
13	16	88
13	18	11
13	19	30
14	15	88
14	16	51
14	17	84
14	18	78
14	19	2
15	18	28
15	19	97
16	17	12
16	18	69
16	19	57
17	18	87
17	19	84
18	19	41
