15	84
0	1	98
0	2	41
0	3	75
0	4	12
0	6	46
0	7	24
0	8	34
0	9	4
0	10	13
0	11	8
0	12	24
0	13	52
0	14	4
1	2	73
1	3	71
1	4	71
1	5	48
1	7	15
1	8	86
1	9	48
1	13	86
1	14	88
2	3	49
2	4	14
2	5	2
2	6	52
2	7	27
2	8	70
2	9	99
2	10	78
2	13	96
2	14	49
3	4	30
3	5	80
3	6	78
3	7	45
3	8	79
3	9	22
3	10	79
3	11	22
3	12	91
3	14	72
4	5	7
4	7	32
4	9	37
4	10	20
4	12	28
4	13	63
4	14	100
5	6	28
5	7	47
5	8	32
5	9	82
5	10	10
5	11	9
5	12	73
5	13	39
5	14	10
6	7	89
6	8	51
6	11	19
6	12	80
6	13	55
7	10	45
7	11	26
7	12	74
7	13	3
7	14	44
8	9	95
8	13	38
9	11	2
9	12	56
9	13	49
9	14	80
10	11	24
10	12	26
10	13	54
10	14	40
11	12	100
11	13	46
11	14	68
12	13	4
12	14	23
13	14	46
