20	95
0	3	46
0	5	81
0	6	64
0	10	35
0	11	92
0	12	63
0	13	27
0	14	34
0	15	15
0	18	64
1	2	60
1	3	37
1	5	93
1	9	21
1	10	80
1	12	20
1	14	72
1	15	72
1	16	52
1	17	72
1	18	31
1	19	28
2	5	11
2	9	40
2	14	26
2	16	67
3	4	95
3	9	33
3	10	11
3	11	18
3	13	31
3	14	72
3	18	87
4	5	8
4	8	73
4	10	15
4	12	34
4	13	22
4	14	50
4	17	16
4	18	31
5	6	31
5	10	26
5	11	57
5	13	81
5	14	68
5	17	21
5	18	39
6	12	32
6	13	16
6	14	37
6	16	21
6	18	14
7	8	20
7	11	53
7	15	31
7	16	84
7	17	48
7	19	33
8	10	99
8	11	59
8	12	78
8	13	29
8	18	15
8	19	66
9	10	55
9	11	59
9	16	79
9	17	28
9	19	60
10	12	89
10	13	85
10	15	86
10	18	26
10	19	40
11	12	86
11	13	26
11	14	85
11	18	51
11	19	54
12	13	31
12	16	89
12	17	13
12	19	76
13	17	61
13	18	11
13	19	30
14	19	2
15	16	23
15	18	28
15	19	97
16	18	69
16	19	57
17	18	87
18	19	41
