15	84
0	1	85
0	2	98
0	3	33
0	4	23
0	5	25
0	6	56
0	7	21
0	8	63
0	9	76
0	10	84
0	11	2
0	12	89
0	13	41
0	14	96
1	2	88
1	3	74
1	6	24
1	7	69
1	8	1
1	9	84
1	10	24
1	12	60
1	13	7
1	14	23
2	3	44
2	4	37
2	5	62
2	6	93
2	7	63
2	8	57
2	9	29
2	10	2
2	12	18
2	14	24
3	4	28
3	6	92
3	7	89
3	8	97
3	9	46
3	10	84
3	11	81
3	12	1
3	13	36
3	14	8
4	5	47
4	6	35
4	7	55
4	8	33
4	9	94
4	13	95
4	14	84
5	6	23
5	7	2
5	8	84
5	10	5
5	12	89
5	13	14
5	14	57
6	10	52
6	11	2
6	13	35
6	14	48
7	8	19
7	9	60
7	11	81
7	12	56
7	13	1
8	9	42
8	10	75
8	11	56
8	12	38
8	13	32
8	14	68
9	11	27
9	12	49
9	13	81
9	14	72
10	11	63
10	12	98
10	14	29
11	12	66
11	14	74
12	13	5
13	14	66
