20	152
0	2	76
0	4	28
0	5	7
0	6	39
0	7	97
0	8	41
0	9	20
0	10	92
0	11	29
0	12	11
0	13	15
0	15	47
0	16	32
0	18	65
0	19	83
1	2	9
1	3	31
1	4	4
1	5	73
1	6	77
1	7	15
1	8	26
1	9	59
1	10	75
1	12	25
1	13	43
1	15	34
1	16	31
1	17	37
1	18	78
1	19	70
2	5	57
2	6	44
2	7	24
2	9	45
2	11	23
2	12	77
2	13	87
2	14	80
2	15	6
2	16	93
2	17	81
2	18	46
2	19	57
3	4	41
3	6	64
3	7	70
3	8	79
3	9	11
3	10	11
3	11	22
3	12	86
3	13	33
3	14	84
3	15	58
3	16	49
4	5	40
4	6	97
4	7	14
4	8	62
4	9	6
4	10	62
4	11	49
4	12	6
4	14	77
4	15	0
4	17	29
4	18	63
4	19	59
5	6	91
5	8	93
5	9	29
5	11	84
5	12	38
5	13	49
5	14	25
5	16	62
5	17	95
5	18	60
5	19	14
6	7	42
6	9	16
6	10	78
6	11	95
6	12	91
6	15	52
6	16	45
6	17	37
6	18	89
6	19	35
7	10	84
7	11	84
7	12	84
7	13	56
7	14	61
7	15	87
7	17	55
7	18	5
7	19	48
8	9	41
8	10	38
8	11	82
8	12	80
8	13	87
8	15	87
8	16	76
8	17	84
8	18	73
8	19	15
9	10	3
9	12	55
9	14	66
9	15	22
9	16	32
9	17	4
9	18	53
9	19	50
10	12	28
10	13	26
10	16	17
10	17	91
10	18	52
10	19	69
11	12	40
11	13	84
11	14	65
11	15	2
11	16	93
11	19	23
12	14	12
12	15	80
12	16	42
12	18	1
12	19	1
13	14	51
13	15	72
13	16	85
13	17	31
13	18	50
13	19	52
14	15	8
14	16	91
14	17	54
14	18	87
14	19	61
15	17	17
15	18	97
16	17	86
16	18	69
16	19	23
17	18	6
18	19	71
