15	84
0	1	16
0	2	5
0	3	47
0	5	97
0	7	94
0	10	77
0	11	27
0	12	17
0	13	70
0	14	51
1	3	59
1	6	83
1	7	23
1	8	10
1	9	42
1	11	27
1	12	97
1	13	73
1	14	2
2	3	23
2	4	33
2	5	72
2	6	35
2	7	21
2	10	90
2	11	19
2	12	91
2	13	69
2	14	47
3	4	30
3	5	48
3	6	34
3	7	83
3	8	27
3	10	92
3	12	71
3	13	26
3	14	39
4	6	3
4	7	60
4	9	81
4	10	86
4	12	38
4	13	93
4	14	1
5	6	11
5	7	91
5	8	53
5	9	9
5	11	88
5	12	19
5	13	59
5	14	86
6	8	10
6	9	36
6	10	59
6	11	61
6	12	35
6	13	3
6	14	43
7	9	13
7	10	81
7	11	92
7	12	45
7	13	53
7	14	83
8	9	89
8	10	75
8	11	26
8	12	15
8	14	36
9	10	53
9	12	17
9	13	50
9	14	19
10	11	39
10	12	21
10	13	11
10	14	85
11	12	71
11	13	97
11	14	3
12	13	9
12	14	50
