15	84
0	1	67
0	2	34
0	3	88
0	4	97
0	5	18
0	6	54
0	7	51
0	8	27
0	9	74
0	10	21
0	13	47
0	14	69
1	2	58
1	3	48
1	4	0
1	5	62
1	7	81
1	8	18
1	9	69
1	10	58
1	11	10
1	13	59
1	14	63
2	3	25
2	4	59
2	5	83
2	6	56
2	7	68
2	8	63
2	9	46
2	10	68
2	11	35
2	13	22
3	4	83
3	5	49
3	6	44
3	7	90
3	9	56
3	10	14
3	11	73
3	12	70
3	13	51
4	5	91
4	6	50
4	8	99
4	9	52
4	11	35
4	12	55
4	13	50
4	14	79
5	6	46
5	7	55
5	8	92
5	9	87
5	11	33
5	12	48
5	13	50
5	14	52
6	7	63
6	8	94
6	9	74
6	10	30
6	12	88
6	13	17
6	14	49
7	8	11
7	9	24
7	10	67
7	12	17
8	9	93
8	10	91
8	12	81
9	10	31
9	11	6
9	12	12
9	13	2
9	14	92
10	11	90
10	12	29
10	13	23
10	14	9
11	13	62
11	14	56
12	14	86
