20	95
0	2	12
0	5	99
0	6	9
0	11	48
0	13	20
0	14	84
0	15	44
0	16	33
0	17	23
0	18	63
0	19	90
1	5	48
1	6	85
1	8	15
1	10	90
1	13	87
1	15	1
1	16	4
1	19	21
2	3	28
2	4	20
2	8	53
2	9	90
2	11	8
2	12	45
2	13	24
2	16	59
2	17	5
2	19	57
3	7	57
3	8	32
3	10	79
3	11	65
3	12	71
3	15	64
3	16	20
3	17	60
3	18	83
4	6	26
4	8	33
4	15	40
5	6	10
5	9	18
5	10	6
5	11	78
5	12	59
5	15	54
5	17	68
5	18	50
6	8	100
6	9	71
6	10	61
6	11	29
6	13	49
6	15	25
6	16	37
6	19	73
7	11	13
7	12	28
7	13	70
7	16	92
7	17	25
7	18	61
8	10	1
8	12	97
8	15	43
8	16	15
8	18	42
8	19	8
9	13	50
9	14	49
9	17	1
10	11	10
10	13	39
10	18	25
10	19	41
11	13	48
11	16	6
11	18	58
11	19	97
12	13	7
12	15	46
12	16	55
12	17	74
12	18	16
12	19	65
13	15	73
13	17	48
13	18	39
13	19	95
14	15	6
14	16	82
14	17	5
15	19	79
16	17	39
