15	84
0	1	41
0	3	4
0	4	17
0	5	87
0	6	72
0	8	21
0	9	90
0	10	41
0	11	59
0	12	6
0	13	99
0	14	68
1	2	20
1	3	22
1	4	70
1	7	67
1	8	84
1	9	33
1	12	48
1	13	75
2	3	6
2	5	16
2	6	96
2	7	96
2	9	82
2	11	45
2	12	88
2	13	16
2	14	53
3	5	6
3	6	31
3	7	34
3	8	16
3	9	66
3	10	56
3	12	20
3	13	80
3	14	3
4	5	23
4	6	39
4	7	90
4	8	42
4	9	8
4	10	7
4	11	29
4	12	22
4	14	52
5	6	16
5	7	21
5	10	17
5	11	41
5	12	35
5	13	43
6	7	6
6	9	52
6	11	60
6	12	29
6	13	95
6	14	91
7	8	27
7	9	41
7	10	64
7	11	99
7	12	93
7	13	41
7	14	18
8	10	97
8	11	41
8	12	79
8	13	25
8	14	82
9	10	44
9	11	6
9	12	30
9	13	70
9	14	71
10	12	73
10	13	24
10	14	13
11	12	62
11	13	82
12	13	21
12	14	89
13	14	16
