15	84
0	1	59
0	4	71
0	5	78
0	6	31
0	7	42
0	8	92
0	9	77
0	10	74
0	11	35
0	12	63
0	13	32
0	14	45
1	2	59
1	3	10
1	4	76
1	5	52
1	6	92
1	7	37
1	8	21
1	9	99
1	11	30
1	13	95
1	14	85
2	3	85
2	4	93
2	5	27
2	7	96
2	8	8
2	9	34
2	10	41
2	11	99
2	12	77
2	13	11
2	14	3
3	4	9
3	5	99
3	6	84
3	7	71
3	9	98
3	10	89
3	11	9
3	12	40
3	13	49
3	14	95
4	5	10
4	6	96
4	8	14
4	9	68
4	10	76
4	11	83
4	13	79
4	14	52
5	7	58
5	9	27
5	12	73
5	13	62
6	7	42
6	8	91
6	9	7
6	10	3
6	11	28
6	12	85
6	13	55
7	8	15
7	9	3
7	10	76
7	11	41
7	12	80
7	14	50
8	9	59
8	10	38
8	12	91
8	13	21
8	14	93
9	10	23
9	12	42
9	13	67
10	11	60
10	12	80
10	13	66
11	12	30
11	14	93
12	13	5
13	14	42
