15	84
0	1	72
0	2	27
0	3	18
0	5	16
0	6	94
0	7	45
0	9	91
0	10	99
0	11	56
0	12	34
0	13	88
0	14	24
1	2	33
1	3	17
1	4	60
1	6	54
1	7	50
1	8	82
1	9	84
1	10	19
1	11	81
1	12	77
1	13	91
1	14	10
2	3	90
2	4	95
2	5	38
2	7	65
2	8	25
2	10	54
2	11	23
2	12	13
2	13	42
2	14	100
3	6	10
3	7	68
3	8	93
3	9	34
3	10	20
3	11	65
3	12	60
3	13	0
4	5	24
4	6	25
4	7	14
4	10	19
4	11	2
4	12	92
4	14	46
5	7	13
5	8	32
5	9	13
5	10	99
5	11	14
5	12	64
5	13	71
5	14	18
6	7	26
6	8	0
6	10	61
6	11	10
6	12	77
6	13	30
6	14	66
7	8	5
7	9	88
7	10	79
7	11	89
7	12	31
7	13	52
7	14	34
8	11	29
8	12	91
8	13	90
9	11	26
9	12	38
9	14	23
10	12	17
10	13	25
10	14	94
11	13	76
12	13	13
12	14	96
13	14	67
