20	95
0	1	16
0	3	47
0	5	97
0	6	48
0	7	94
0	8	70
0	9	35
0	15	84
0	16	59
1	3	10
1	4	42
1	5	18
1	6	27
1	7	97
1	11	33
1	12	72
1	13	35
1	14	21
1	18	19
2	4	47
2	7	34
2	14	26
2	16	62
2	19	17
3	6	62
3	7	38
3	9	1
3	10	11
3	14	99
3	15	88
3	19	34
4	5	10
4	6	36
4	10	3
4	11	43
4	12	5
4	13	13
4	16	45
4	17	53
4	19	89
5	7	26
5	10	36
5	11	53
5	14	50
5	17	21
5	18	11
5	19	85
6	8	97
6	13	24
6	14	94
6	15	54
6	16	99
7	8	89
7	9	31
7	10	31
7	11	27
7	12	63
7	13	93
7	15	81
7	16	49
7	17	94
7	18	56
8	10	97
8	11	43
8	14	16
8	16	49
9	11	46
9	12	36
9	13	80
9	15	23
9	19	50
10	12	64
10	13	26
10	14	68
10	18	33
11	13	77
11	14	46
11	15	88
11	17	6
11	18	59
11	19	77
12	13	0
12	16	47
12	17	100
12	18	63
12	19	60
13	16	52
13	17	44
14	16	93
14	19	13
15	17	99
15	19	31
16	17	34
16	18	83
16	19	53
