20	152
0	1	98
0	2	41
0	4	12
0	7	24
0	10	13
0	11	8
0	12	24
0	13	52
0	14	4
0	15	73
0	16	71
0	19	71
1	3	86
1	4	48
1	5	71
1	6	58
1	7	80
1	8	86
1	9	88
1	10	49
1	11	14
1	12	2
1	13	52
1	14	27
1	15	70
1	16	99
1	18	16
1	19	23
2	3	96
2	6	80
2	7	78
2	8	45
2	9	79
2	10	22
2	11	79
2	12	22
2	13	91
2	14	54
2	17	10
3	4	37
3	7	28
3	8	63
3	9	100
3	10	28
3	11	47
3	12	32
3	13	82
3	15	9
3	17	39
3	18	10
3	19	89
4	5	51
4	6	34
4	7	65
4	10	55
4	11	64
4	12	60
4	13	77
4	14	45
4	15	26
4	17	3
4	18	44
4	19	95
5	6	30
5	8	86
5	9	38
5	10	12
5	11	44
5	12	2
5	14	49
5	15	80
5	16	24
5	17	26
5	18	54
5	19	40
6	7	100
6	8	46
6	9	68
6	10	4
6	11	23
6	13	71
6	14	96
6	15	75
6	16	2
6	17	7
6	18	71
7	8	87
7	9	56
7	10	95
7	11	24
7	12	93
7	13	18
7	14	33
7	16	52
7	17	40
7	18	50
7	19	78
8	9	56
8	10	15
8	11	11
8	12	1
8	13	55
8	15	57
8	16	63
8	17	97
8	19	4
9	10	62
9	13	38
9	15	96
9	16	89
9	17	36
9	18	79
9	19	53
10	11	23
10	13	10
10	14	0
10	15	39
10	16	27
10	19	43
11	12	23
11	13	28
11	14	52
11	15	46
11	16	67
11	17	72
11	18	11
11	19	30
12	13	74
12	14	49
12	15	35
12	16	35
12	17	40
12	18	41
12	19	88
13	14	23
13	15	94
13	16	87
13	17	14
13	18	30
13	19	94
14	15	2
14	16	40
14	17	82
14	18	34
14	19	45
15	16	51
15	18	63
15	19	64
16	17	30
16	18	22
16	19	88
18	19	12
