20	95
0	1	28
0	3	89
0	6	39
0	9	20
0	10	92
0	12	11
0	14	10
0	15	47
0	16	32
0	18	65
1	2	9
1	3	31
1	5	73
1	6	77
1	8	26
1	10	75
1	12	25
1	13	43
1	14	38
1	16	31
1	17	37
1	18	78
2	5	57
2	6	44
2	7	24
2	8	22
2	12	77
2	13	87
2	16	93
3	5	13
3	6	64
3	7	70
3	8	79
3	12	86
3	14	84
3	15	58
3	16	49
3	18	2
4	6	97
4	7	14
4	10	62
4	13	14
4	15	0
4	16	94
5	6	91
5	11	84
5	14	25
5	16	62
5	17	95
6	8	23
6	9	16
6	10	78
6	11	95
6	12	91
6	14	88
6	15	52
6	16	45
6	17	37
6	19	35
7	10	84
7	11	84
7	14	61
7	16	29
7	19	48
8	9	41
8	10	38
8	13	87
8	14	43
8	17	84
9	12	55
9	13	23
9	14	66
9	16	32
9	17	4
9	18	53
10	14	24
10	15	34
10	19	69
11	13	84
11	17	2
11	18	80
12	13	67
12	16	42
12	18	1
13	16	85
13	17	31
14	15	8
14	19	61
15	17	17
15	18	97
15	19	97
16	18	69
16	19	23
17	19	1
18	19	71
