100	990
0	1	67
0	13	47
0	17	0
0	18	62
0	29	59
0	33	63
0	45	56
0	53	90
0	55	52
0	65	74
0	68	50
0	72	74
0	73	30
0	84	47
0	85	93
0	87	55
0	88	81
1	2	36
1	4	56
1	5	41
1	20	57
1	23	18
1	28	30
1	32	27
1	35	91
1	46	36
1	48	90
1	59	69
1	65	68
1	66	47
1	67	60
1	68	60
1	71	92
1	73	18
1	75	43
1	79	11
1	84	87
1	85	29
1	89	76
1	90	20
1	93	73
2	3	30
2	4	4
2	8	68
2	11	58
2	12	78
2	17	5
2	21	100
2	23	95
2	30	63
2	33	33
2	39	38
2	42	12
2	44	57
2	62	99
2	70	7
2	72	12
2	74	63
2	83	62
3	8	33
3	9	49
3	20	88
3	26	58
3	32	12
3	35	89
3	36	49
3	42	98
3	61	95
3	72	38
3	81	59
3	82	91
3	84	47
3	85	58
3	97	71
4	10	28
4	14	93
4	25	18
4	32	38
4	48	39
4	51	28
4	54	6
4	55	73
4	58	82
4	65	98
4	71	93
4	76	74
4	80	51
4	81	89
4	87	54
4	96	52
5	10	39
5	17	12
5	18	56
5	21	74
5	29	4
5	32	71
5	33	74
5	37	63
5	44	46
5	48	62
5	64	68
5	65	59
5	72	29
5	73	26
5	75	29
5	82	80
5	85	59
6	13	51
6	25	97
6	26	49
6	35	54
6	40	83
6	41	8
6	51	80
6	52	27
6	58	38
6	66	6
6	73	53
6	74	17
6	81	73
6	82	43
6	84	14
6	87	95
6	90	48
6	95	38
7	11	42
7	13	1
7	23	41
7	26	68
7	32	6
7	36	87
7	39	54
7	45	72
7	49	72
7	57	43
7	70	53
7	75	13
7	79	81
7	82	33
7	97	92
8	13	20
8	14	12
8	15	59
8	20	60
8	34	27
8	35	76
8	38	17
8	43	61
8	47	92
8	51	36
8	56	63
8	57	50
8	58	25
8	63	85
8	79	1
8	80	91
8	88	84
8	92	48
8	97	80
8	98	76
9	10	44
9	11	91
9	12	22
9	13	55
9	33	47
9	35	97
9	46	49
9	50	35
9	52	18
9	53	75
9	56	4
9	57	47
9	61	36
9	65	11
9	79	76
9	80	71
9	87	55
9	89	74
9	93	93
9	97	44
9	98	73
9	99	25
10	12	22
10	15	74
10	16	47
10	18	79
10	21	90
10	29	53
10	34	99
10	35	34
10	37	84
10	38	24
10	45	76
10	48	55
10	49	18
10	53	88
10	60	49
10	63	19
10	65	3
10	70	32
10	72	18
10	80	76
10	85	14
10	86	13
10	89	86
10	90	5
10	94	36
11	14	93
11	15	71
11	18	28
11	21	66
11	31	46
11	33	88
11	37	62
11	40	97
11	45	73
11	55	51
11	56	50
11	57	61
11	73	59
11	86	42
11	88	40
11	93	45
11	94	74
11	99	12
12	13	3
12	28	14
12	34	54
12	37	4
12	54	76
12	58	41
12	73	74
12	76	72
12	86	96
12	87	98
12	93	31
13	23	65
13	29	21
13	32	71
13	33	27
13	40	56
13	41	25
13	46	2
13	51	22
13	62	41
13	65	57
13	67	97
13	68	31
13	70	1
13	71	53
13	74	43
13	78	18
13	83	43
13	92	11
14	16	19
14	23	94
14	24	70
14	25	4
14	33	5
14	37	47
14	38	15
14	46	40
14	49	53
14	58	4
14	59	86
14	60	57
14	73	38
14	83	14
14	85	58
14	89	49
15	16	53
15	19	37
15	27	31
15	35	5
15	38	62
15	40	83
