20	95
0	1	41
0	4	17
0	5	87
0	7	5
0	9	90
0	10	41
0	11	59
0	12	6
0	18	89
1	4	33
1	10	6
1	12	16
1	13	96
1	15	38
1	18	45
1	19	88
2	4	53
2	5	31
2	6	6
2	8	34
2	9	16
2	10	66
2	11	56
2	12	80
2	14	80
2	15	3
2	17	39
2	18	90
3	5	7
3	7	22
3	8	89
3	11	21
3	12	37
3	13	3
3	14	17
3	15	41
3	16	35
3	18	68
3	19	6
4	9	29
4	13	41
4	14	64
4	15	99
4	16	93
4	18	18
5	11	44
5	12	6
5	15	71
5	17	73
5	18	24
5	19	13
6	7	62
6	10	21
6	11	89
6	12	16
6	17	56
6	19	14
7	8	82
7	9	53
7	12	88
7	14	1
7	16	72
7	18	89
8	9	31
8	14	14
8	15	92
8	16	90
8	17	14
8	18	21
9	10	74
9	11	67
9	12	88
9	14	12
9	18	62
9	19	79
10	11	8
10	13	30
10	14	19
10	15	22
10	16	62
10	17	0
10	19	19
11	13	14
11	14	83
11	17	72
11	18	23
12	17	87
12	19	100
13	14	28
13	15	50
13	17	54
13	18	78
13	19	16
14	19	84
15	19	37
