20	95
0	1	59
0	2	83
0	5	78
0	7	42
0	9	77
0	10	74
0	11	35
0	12	63
0	13	32
0	14	45
0	15	59
0	16	10
0	17	76
0	18	52
0	19	92
1	5	1
1	8	95
1	13	35
1	14	96
1	15	8
2	8	71
2	11	89
2	12	9
2	13	40
2	15	95
2	16	10
2	18	75
2	19	14
3	5	76
3	6	83
3	7	65
3	8	79
3	9	52
3	11	58
3	12	41
3	14	44
3	16	73
3	18	53
3	19	42
4	6	7
4	8	28
4	9	85
4	12	15
4	13	3
4	17	41
4	19	59
5	8	91
5	9	21
5	10	93
5	11	23
5	14	67
5	17	80
6	7	30
6	8	64
6	9	93
6	10	5
6	11	40
6	13	71
6	15	96
6	16	5
6	17	40
6	18	11
7	10	46
7	12	63
7	13	86
7	15	88
7	18	65
7	19	3
8	10	13
8	11	6
8	17	21
8	19	71
9	10	87
9	14	76
9	17	11
9	19	69
10	11	70
10	12	16
10	13	75
10	17	67
10	18	86
10	19	45
11	17	64
12	14	10
12	18	95
12	19	7
13	15	56
13	17	91
13	18	40
14	17	67
14	19	52
15	18	33
16	17	98
16	18	54
17	18	86
