20	95
0	4	23
0	5	25
0	6	56
0	7	21
0	9	76
0	10	84
0	11	2
0	12	89
0	15	88
0	16	74
0	18	65
1	3	1
1	5	24
1	6	81
1	9	23
1	11	37
1	19	18
2	4	24
2	7	92
2	8	89
2	9	97
2	15	8
2	17	35
2	18	55
3	4	94
3	6	21
3	8	95
3	9	84
3	10	23
3	12	84
3	13	65
3	14	5
3	15	27
4	5	46
4	7	52
4	8	2
4	9	57
4	11	48
4	12	19
4	13	60
4	14	6
4	17	1
5	6	75
5	7	56
5	11	42
5	16	63
5	17	98
5	18	46
5	19	29
6	8	12
6	10	5
6	14	22
6	16	62
6	19	79
7	9	17
7	10	57
7	12	53
7	13	76
7	15	73
7	17	41
8	10	15
8	11	67
8	15	54
8	16	99
8	19	91
9	11	11
9	12	95
9	13	56
9	14	49
9	15	21
9	16	62
9	19	39
10	11	42
10	12	73
10	14	28
11	12	74
11	13	13
11	15	37
11	16	82
11	18	94
12	14	85
12	17	14
13	15	44
13	17	83
13	18	4
14	15	22
14	16	34
14	17	83
14	18	57
14	19	38
15	18	86
16	17	79
16	19	18
17	18	24
18	19	88
